Participant,Experimental_Group,recruitment_platform,Effects_Perception
13,Disclosed,Prolific,5
13,Disclosed,Prolific,5
14,Not Disclosed,Prolific,5
14,Not Disclosed,Prolific,4
14,Not Disclosed,Prolific,4
14,Not Disclosed,Prolific,5
14,Not Disclosed,Prolific,5
14,Not Disclosed,Prolific,5
14,Not Disclosed,Prolific,5
14,Not Disclosed,Prolific,5
14,Not Disclosed,Prolific,5
14,Not Disclosed,Prolific,5
14,Not Disclosed,Prolific,5
14,Not Disclosed,Prolific,4
14,Not Disclosed,Prolific,4.666666667
14,Not Disclosed,Prolific,5
14,Not Disclosed,Prolific,4.666666667
14,Not Disclosed,Prolific,4.333333333
14,Not Disclosed,Prolific,5
14,Not Disclosed,Prolific,4
14,Not Disclosed,Prolific,5
14,Not Disclosed,Prolific,5
14,Not Disclosed,Prolific,5
14,Not Disclosed,Prolific,5
14,Not Disclosed,Prolific,5
14,Not Disclosed,Prolific,4
14,Not Disclosed,Prolific,4.666666667
14,Not Disclosed,Prolific,4
14,Not Disclosed,Prolific,5
14,Not Disclosed,Prolific,4
14,Not Disclosed,Prolific,5
14,Not Disclosed,Prolific,4
15,Not Disclosed,Prolific,5
15,Not Disclosed,Prolific,5
15,Not Disclosed,Prolific,5
15,Not Disclosed,Prolific,5
15,Not Disclosed,Prolific,5
15,Not Disclosed,Prolific,5
15,Not Disclosed,Prolific,5
15,Not Disclosed,Prolific,5
15,Not Disclosed,Prolific,5
15,Not Disclosed,Prolific,5
15,Not Disclosed,Prolific,5
15,Not Disclosed,Prolific,5
15,Not Disclosed,Prolific,5
15,Not Disclosed,Prolific,5
15,Not Disclosed,Prolific,5
15,Not Disclosed,Prolific,5
15,Not Disclosed,Prolific,5
15,Not Disclosed,Prolific,5
15,Not Disclosed,Prolific,5
15,Not Disclosed,Prolific,5
15,Not Disclosed,Prolific,5
15,Not Disclosed,Prolific,5
15,Not Disclosed,Prolific,5
15,Not Disclosed,Prolific,5
15,Not Disclosed,Prolific,5
15,Not Disclosed,Prolific,5
15,Not Disclosed,Prolific,5
15,Not Disclosed,Prolific,1
15,Not Disclosed,Prolific,5
15,Not Disclosed,Prolific,5
16,Disclosed,Prolific,4.666666667
16,Disclosed,Prolific,4.333333333
16,Disclosed,Prolific,5
16,Disclosed,Prolific,5
16,Disclosed,Prolific,4.666666667
16,Disclosed,Prolific,4.666666667
16,Disclosed,Prolific,5
16,Disclosed,Prolific,4.333333333
16,Disclosed,Prolific,5
16,Disclosed,Prolific,4.333333333
16,Disclosed,Prolific,5
16,Disclosed,Prolific,2.333333333
